id, time_ms, address, rssi, ave
1, 1198, 65:02, -54, -52
2, 499, 65:02, -60, -57
3, 462, 65:02, -62, -61
4, 483, 65:02, -62, -62
5, 475, 65:02, -61, -61
6, 483, 65:02, -61, -61
7, 483, 65:02, -61, -61
8, 477, 65:02, -60, -60
9, 481, 65:02, -68, -64
10, 958, 65:02, -56, -62
11, 962, 65:02, -54, -55
12, 479, 65:02, -64, -59
13, 484, 65:02, -70, -67
14, 974, 65:02, -52, -61
15, 456, 65:02, -55, -53
16, 485, 65:02, -67, -61
17, 483, 65:02, -62, -64
18, 476, 65:02, -54, -58
19, 484, 65:02, -54, -54
20, 475, 65:02, -64, -59
21, 495, 65:02, -65, -64
22, 467, 65:02, -52, -58
23, 481, 65:02, -53, -52
24, 962, 65:02, -56, -54
25, 476, 65:02, -67, -61
26, 501, 65:02, -67, -67
27, 463, 65:02, -74, -70
28, 956, 65:02, -56, -65
29, 477, 65:02, -71, -63
30, 484, 65:02, -66, -68
31, 482, 65:02, -71, -68
32, 478, 65:02, -69, -70
33, 478, 65:02, -72, -70
34, 491, 65:02, -55, -63
35, 473, 65:02, -55, -55
36, 475, 65:02, -53, -54
37, 480, 65:02, -69, -61
38, 479, 65:02, -66, -67
39, 487, 65:02, -63, -64
40, 476, 65:02, -64, -63
41, 480, 65:02, -67, -65
42, 959, 65:02, -57, -62
43, 481, 65:02, -64, -60
44, 962, 65:02, -68, -66
45, 474, 65:02, -69, -68
46, 483, 65:02, -62, -65
47, 486, 65:02, -69, -65
48, 470, 65:02, -64, -66
49, 502, 65:02, -65, -64
50, 462, 65:02, -65, -65
51, 482, 65:02, -67, -66
52, 472, 65:02, -71, -69
53, 488, 65:02, -98, -84
54, 502, 65:02, -69, -83
55, 460, 65:02, -72, -70
56, 480, 65:02, -68, -70
57, 479, 65:02, -66, -67
58, 498, 65:02, -72, -69
59, 463, 65:02, -72, -72
60, 477, 65:02, -73, -72
61, 487, 65:02, -71, -72
62, 471, 65:02, -75, -73
63, 480, 65:02, -79, -77
64, 477, 65:02, -76, -77
65, 514, 65:02, -90, -83
66, 450, 65:02, -80, -85
67, 957, 65:02, -87, -83
68, 483, 65:02, -77, -82
69, 480, 65:02, -77, -77
70, 478, 65:02, -76, -76
71, 478, 65:02, -76, -76
72, 513, 65:02, -78, -77
73, 449, 65:02, -79, -78
74, 964, 65:02, -82, -80
75, 954, 65:02, -80, -81
76, 483, 65:02, -82, -81
77, 481, 65:02, -82, -82
78, 477, 65:02, -87, -84
79, 485, 65:02, -87, -87
80, 478, 65:02, -88, -87
81, 508, 65:02, -88, -88
82, 451, 65:02, -80, -84
83, 517, 65:02, -83, -81
84, 449, 65:02, -85, -84
85, 475, 65:02, -74, -79
86, 480, 65:02, -71, -72
87, 954, 65:02, -70, -70
88, 513, 65:02, -70, -70
89, 455, 65:02, -71, -70
90, 477, 65:02, -70, -70
91, 479, 65:02, -69, -69
92, 477, 65:02, -72, -70
93, 479, 65:02, -75, -73
94, 487, 65:02, -72, -73
95, 479, 65:02, -81, -76
96, 482, 65:02, -78, -79
97, 965, 65:02, -71, -74
98, 475, 65:02, -73, -72
99, 475, 65:02, -71, -72
100, 481, 65:02, -74, -72
101, 485, 65:02, -72, -73
102, 487, 65:02, -75, -73
103, 472, 65:02, -72, -73
104, 485, 65:02, -70, -71
105, 468, 65:02, -74, -72
106, 488, 65:02, -74, -74
107, 953, 65:02, -76, -75
108, 483, 65:02, -73, -74
109, 480, 65:02, -72, -72
110, 512, 65:02, -75, -73
111, 449, 65:02, -81, -78
112, 483, 65:02, -75, -78
113, 474, 65:02, -77, -76
114, 482, 65:02, -85, -81
115, 488, 65:02, -80, -82
116, 473, 65:02, -95, -87
117, 485, 65:02, -85, -90
118, 470, 65:02, -77, -81
119, 485, 65:02, -73, -75
120, 478, 65:02, -71, -72
121, 479, 65:02, -79, -75
122, 489, 65:02, -98, -88
123, 470, 65:02, -87, -92
124, 480, 65:02, -72, -79
125, 509, 65:02, -75, -73
126, 451, 65:02, -85, -80
127, 476, 65:02, -82, -83
128, 516, 65:02, -70, -76
129, 454, 65:02, -71, -70
130, 472, 65:02, -67, -69
131, 490, 65:02, -67, -67
132, 475, 65:02, -64, -65
133, 483, 65:02, -62, -63
134, 955, 65:02, -65, -63
135, 484, 65:02, -67, -66
136, 474, 65:02, -75, -71
137, 479, 65:02, -81, -78
138, 967, 65:02, -91, -86
139, 480, 65:02, -89, -90
140, 477, 65:02, -94, -91
141, 479, 65:02, -92, -93
142, 1443, 65:02, -84, -88
143, 476, 65:02, -98, -91
144, 1444, 65:02, -91, -94
145, 502, 65:02, -87, -89
146, 460, 65:02, -85, -86
147, 950, 65:02, -87, -86
148, 1445, 65:02, -96, -91
149, 490, 65:02, -90, -93
150, 1430, 65:02, -94, -92
151, 970, 65:02, -101, -97
152, 471, 65:02, -96, -98
153, 480, 65:02, -92, -94
154, 475, 65:02, -91, -91
155, 963, 65:02, -87, -89
156, 1445, 65:02, -98, -92
157, 479, 65:02, -89, -93
158, 474, 65:02, -92, -90
159, 486, 65:02, -95, -93
160, 475, 65:02, -94, -94
161, 957, 65:02, -94, -94
162, 480, 65:02, -96, -95
163, 481, 65:02, -96, -96
164, 484, 65:02, -94, -95
165, 477, 65:02, -98, -96
166, 3287, xx:xx, -120, -109
167, 2951, 65:02, -97, -108
168, 1442, 65:02, -96, -96
169, 484, 65:02, -95, -95
170, 955, 65:02, -95, -95
171, 1947, 65:02, -95, -95
172, 456, 65:02, -92, -93
173, 957, 65:02, -98, -95
174, 2891, 65:02, -91, -94
175, 2874, 65:02, -95, -93
176, 955, 65:02, -92, -93
177, 511, 65:02, -90, -91
178, 1410, 65:02, -97, -93
179, 488, 65:02, -102, -99
180, 479, 65:02, -94, -98
181, 477, 65:02, -91, -92
182, 474, 65:02, -98, -94
183, 1445, 65:02, -92, -95
184, 476, 65:02, -94, -93
185, 489, 65:02, -84, -89
186, 478, 65:02, -84, -84
187, 478, 65:02, -86, -85
188, 502, 65:02, -82, -84
189, 932, 65:02, -87, -84
190, 488, 65:02, -82, -84
191, 471, 65:02, -84, -83
192, 485, 65:02, -82, -83
193, 485, 65:02, -86, -84
194, 957, 65:02, -90, -88
195, 480, 65:02, -94, -92
196, 476, 65:02, -86, -90
197, 1448, 65:02, -99, -92
198, 475, 65:02, -96, -97
199, 483, 65:02, -95, -95
200, 2405, 65:02, -84, -89
201, 474, 65:02, -98, -91
202, 481, 65:02, -91, -94
203, 2880, 65:02, -93, -92
204, 960, 65:02, -96, -94
205, 1918, 65:02, -86, -91
206, 474, 65:02, -89, -87
207, 488, 65:02, -88, -88
208, 484, 65:02, -92, -90
209, 470, 65:02, -94, -93
210, 481, 65:02, -86, -90
211, 1451, 65:02, -92, -89
212, 472, 65:02, -91, -91
213, 506, 65:02, -98, -94
214, 3334, 65:02, -97, -97
215, 1436, 65:02, -94, -95
216, 3296, xx:xx, -120, -107
217, 1983, 65:02, -97, -108
218, 1444, 65:02, -99, -98
219, 954, 65:02, -95, -97
220, 482, 65:02, -97, -96
221, 2400, 65:02, -95, -96
222, 485, 65:02, -91, -93
223, 483, 65:02, -91, -91
224, 2399, 65:02, -94, -92
225, 511, 65:02, -91, -92
226, 447, 65:02, -90, -90
227, 2404, 65:02, -95, -92
228, 957, 65:02, -95, -95
229, 476, 65:02, -93, -94
230, 483, 65:02, -93, -93
231, 1919, 65:02, -85, -89
232, 3298, xx:xx, -120, -102
233, 572, 65:02, -96, -108
234, 965, 65:02, -101, -98
235, 929, 65:02, -90, -95
236, 1913, 65:02, -84, -87
237, 489, 65:02, -92, -88
238, 476, 65:02, -97, -94
239, 1438, 65:02, -96, -96
240, 481, 65:02, -93, -94
241, 486, 65:02, -94, -93
242, 963, 65:02, -90, -92
243, 473, 65:02, -85, -87
244, 476, 65:02, -91, -88
245, 2908, 65:02, -94, -92
246, 454, 65:02, -102, -98
247, 478, 65:02, -89, -95
248, 480, 65:02, -100, -94
249, 482, 65:02, -95, -97
250, 1922, 65:02, -92, -93
251, 477, 65:02, -99, -95
252, 481, 65:02, -98, -98
253, 1919, 65:02, -99, -98
254, 2405, 65:02, -90, -94
255, 2424, 65:02, -93, -91
256, 451, 65:02, -88, -90
257, 2399, 65:02, -94, -91
258, 960, 65:02, -91, -92
259, 483, 65:02, -93, -92
260, 475, 65:02, -93, -93
261, 3308, xx:xx, -120, -106
262, 1973, 65:02, -91, -105
263, 1473, 65:02, -94, -92
264, 452, 65:02, -89, -91
265, 502, 65:02, -99, -94
266, 452, 65:02, -98, -98
267, 2404, 65:02, -97, -97
268, 478, 65:02, -92, -94
269, 486, 65:02, -95, -93
270, 959, 65:02, -94, -94
271, 1438, 65:02, -94, -94
272, 965, 65:02, -92, -93
273, 483, 65:02, -94, -93
274, 2396, 65:02, -96, -95
275, 954, 65:02, -101, -98
276, 484, 65:02, -95, -98
277, 481, 65:02, -101, -98
278, 1915, 65:02, -91, -96
279, 479, 65:02, -94, -92
280, 488, 65:02, -86, -90
281, 2391, 65:02, -94, -90
282, 965, 65:02, -95, -94
283, 503, 65:02, -83, -89
284, 456, 65:02, -94, -88
285, 477, 65:02, -84, -89
286, 964, 65:02, -100, -92
287, 960, 65:02, -92, -96
288, 485, 65:02, -98, -95
289, 958, 65:02, -100, -99
290, 953, 65:02, -95, -97
291, 485, 65:02, -99, -97
292, 1436, 65:02, -96, -97
293, 481, 65:02, -91, -93
294, 478, 65:02, -85, -88
295, 960, 65:02, -87, -86
296, 2883, 65:02, -87, -87
297, 483, 65:02, -92, -89
298, 476, 65:02, -96, -94
299, 486, 65:02, -85, -90
300, 1432, 65:02, -101, -93
301, 487, 65:02, -95, -98
302, 477, 65:02, -92, -93
303, 478, 65:02, -93, -92
304, 962, 65:02, -101, -97
305, 1920, 65:02, -102, -101
306, 482, 65:02, -85, -93
307, 476, 65:02, -99, -92
308, 968, 65:02, -98, -98
309, 1912, 65:02, -89, -93
310, 1468, 65:02, -99, -94
311, 1901, 65:02, -92, -95
312, 1434, 65:02, -90, -91
313, 3291, xx:xx, -120, -105
314, 547, 65:02, -95, -107
315, 3296, xx:xx, -120, -107
316, 546, 65:02, -93, -106
317, 955, 65:02, -90, -91
318, 2408, 65:02, -97, -93
319, 1920, 65:02, -92, -94
320, 2428, 65:02, -97, -94
321, 446, 65:02, -92, -94
322, 2398, 65:02, -93, -92
323, 486, 65:02, -96, -94
324, 953, 65:02, -98, -97
325, 481, 65:02, -95, -96
326, 487, 65:02, -97, -96
327, 1437, 65:02, -93, -95
328, 501, 65:02, -94, -93
329, 956, 65:02, -85, -89
330, 2387, 65:02, -85, -85
331, 482, 65:02, -87, -86
332, 956, 65:02, -86, -86
333, 955, 65:02, -89, -87
334, 486, 65:02, -96, -92
335, 2400, 65:02, -96, -96
336, 479, 65:02, -96, -96
337, 1442, 65:02, -83, -89
338, 474, 65:02, -90, -86
339, 491, 65:02, -92, -91
340, 980, 65:02, -99, -95
341, 956, 65:02, -83, -91
342, 457, 65:02, -91, -87
343, 503, 65:02, -94, -92
344, 1899, 65:02, -94, -94
345, 476, 65:02, -94, -94
346, 480, 65:02, -84, -89
347, 484, 65:02, -91, -87
348, 477, 65:02, -94, -92
349, 477, 65:02, -85, -89
350, 1921, 65:02, -91, -88
351, 485, 65:02, -91, -91
352, 475, 65:02, -92, -91
353, 1922, 65:02, -87, -89
354, 477, 65:02, -88, -87
355, 959, 65:02, -95, -91
356, 966, 65:02, -84, -89
357, 1439, 65:02, -86, -85
358, 1442, 65:02, -94, -90
359, 960, 65:02, -95, -94
360, 953, 65:02, -96, -95
361, 496, 65:02, -89, -92
362, 474, 65:02, -97, -93
363, 474, 65:02, -98, -97
364, 958, 65:02, -96, -97
365, 3297, xx:xx, -120, -108
366, 3300, xx:xx, -120, -120
367, 606, 65:02, -98, -109
368, 478, 65:02, -91, -94
369, 483, 65:02, -92, -91
370, 479, 65:02, -94, -93
371, 2874, 65:02, -97, -95
372, 482, 65:02, -90, -93
373, 958, 65:02, -98, -94
374, 1447, 65:02, -91, -94
375, 478, 65:02, -93, -92
376, 960, 65:02, -94, -93
377, 2400, 65:02, -96, -95
378, 1435, 65:02, -95, -95
379, 964, 65:02, -95, -95
380, 1439, 65:02, -95, -95
381, 962, 65:02, -93, -94
382, 477, 65:02, -88, -90
383, 1922, 65:02, -92, -90
384, 1920, 65:02, -89, -90
385, 479, 65:02, -95, -92
386, 481, 65:02, -83, -89
387, 2422, 65:02, -85, -84
388, 458, 65:02, -94, -89
389, 964, 65:02, -85, -89
390, 965, 65:02, -99, -92
391, 1910, 65:02, -94, -96
392, 959, 65:02, -90, -92
393, 1443, 65:02, -93, -91
394, 959, 65:02, -99, -96
